"transaction_uti","isin","notional","notional_currency","transaction_type","transaction_datetime","rate","lei","legalName","bic","transaction_costs"
"1030291281MARKITWIRE0000000000000112874138","EZ9724VTXK48","763000.0","GBP","Sell","2020-11-25T15:06:22Z","0.0070956000","XKZZ2JZF41MRHTR1V493","CITIGROUP GLOBAL MARKETS LIMITED","SBILGB2LXXX","-757586.0572"
"0000452AMARKITWIRE97461020","EZN7BQZMQBR8","5000000.0","GBP","Buy","2020-12-17T12:15:39Z","0.0062469000","213800MBWEIJDM5CU638","LLOYDS BANK CORPORATE MARKETS PLC","LLCMGB22XXX","-4968765.5"
"1030244641MARKITWIRE0000000000000072110232","EZNB2LV26CY9","1.957E7","GBP","Sell","2020-12-16T14:38:43Z","0.0131500000","K6Q0W1PS1L1O4IQL9C32","J.P. MORGAN SECURITIES PLC","JPMSGB2LXXX","-19312654.5"
"1030291281MARKITWIRE0000000000000080152595","EZD7JRS42975","6700000.0","GBP","Sell","2020-12-21T14:54:14Z","0.0137000000","XKZZ2JZF41MRHTR1V493","CITIGROUP GLOBAL MARKETS LIMITED","SBILGB2LXXX","-6608210.0"
"1030244641MARKITWIRE0000000000000072697124","EZQW6HTFKNZ9","1.951E7","GBP","Sell","2020-12-16T14:37:01Z","0.0136050000","K6Q0W1PS1L1O4IQL9C32","J.P. MORGAN SECURITIES PLC","JPMSGB2LXXX","-19244566.45"
"0000452AMARKITWIRE26225363","EZKK6069DP48","1.41E7","GBP","Sell","2020-12-17T11:52:14Z","0.0060063000","MP6I5ZYZBEU3UXPYFY54","HSBC BANK PLC","MIDLGB22XXX","-14015311.17"
"0000452AMARKITWIRE106469723","EZ65LX7J3NL1","1.2E7","GBP","Buy","2020-12-15T14:17:29Z","0.0094600000","MP6I5ZYZBEU3UXPYFY54","HSBC BANK PLC","MIDLGB22XXX","-11886480.0"
"1030244641MARKITWIRE0000000000000112880849","EZ6W26XXZTS6","1853000.0","GBP","Sell","2020-11-25T15:10:25Z","0.0061606000","K6Q0W1PS1L1O4IQL9C32","J.P. MORGAN SECURITIES PLC","JPMSGB2LXXX","-1841584.4082"
"0000452AMARKITWIRE88889673","EZTH907TJ6W0","2.2E7","GBP","Buy","2020-12-17T12:05:48Z","0.0058325000","MP6I5ZYZBEU3UXPYFY54","HSBC BANK PLC","MIDLGB22XXX","-21871685.0"
"0000452AMARKITWIRE73224269","EZSJCJ5GMYW6","8000000.0","GBP","Buy","2020-12-11T11:42:03Z","0.0054013000","BFXS5XCH7N0Y05NIXW11","ABN AMRO Bank N.V.","ABNANL2AXXX, BETHDEF1XXX, GSLANL21XXX, KBWFNL21XXX, VSBVNL21XXX, ZEELNL21XXX","1473124914.3724658"
